   0.529   0.195   0.000
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
   0.529   0.195   0.724
